



Watchman  n. Man employed to look after an empty building etc. At night.
Smooch  colloq. —n. 1  period of slow close dancing. 2 period of kissing and caressing. —v. Engage in a smooch.  smoochy adj. [imitative]






Trial run  n. Preliminary operational test.

Foxglove  n. Tall plant with purple or white flowers like glove-fingers.


Evaporated milk  n. Unsweetened milk concentrated by evaporation.
Wholehearted  adj. 1 completely devoted. 2 done with all possible effort or sincerity.  wholeheartedly adv.
Vicuña  n. 1 s. American mammal like a llama, with fine silky wool. 2 a cloth from its wool. B imitation of this. [spanish from quechua]




Saying  n. Maxim, proverb, etc.  go without saying be too obvious to need mention.

Kestrel  n. Small hovering falcon. [origin uncertain]
Chain-smoke  v. Smoke continually, esp. By lighting the next cigarette etc. From the previous one.  chain-smoker n.
Carnelian  var. Of *cornelian.
Retsina  n. Greek white wine flavoured with resin. [modern greek]


Asshole  n. (brit. Arsehole) coarse slang 1 anus. 2 offens. Contemptible person.
Certitude  n. Feeling of certainty. [latin: related to *certain]
Rood-screen  n. Carved screen separating nave and chancel.
Burbot  n. (pl. Same) eel-like freshwater fish. [french]
Ammonia  n. 1 pungent strongly alkaline gas. 2 (in general use) solution of ammonia in water. [as *sal ammoniac]
Muniment  n. (usu. In pl.) Document kept as evidence of rights or privileges etc. [latin munio fortify]


Reanimate  v. (-ting) 1 restore to life. 2 restore to activity or liveliness.  reanimation n.

Cross-reference  —n. Reference from one part of a book etc. To another. —v. Provide with cross-references.
Patna rice  n. Rice with long firm grains. [from patna in india]
Self-absorption  n. Absorption in oneself.  self-absorbed adj.
Shortage  n. (often foll. By of) deficiency; lack.
Classicism  n. 1 following of a classic style. 2 classical scholarship. 3 ancient greek or latin idiom.  classicist n.
Hit  —v. (-tt-; past and past part. Hit) 1 a strike with a blow or missile. B (of a moving body) strike with force (the plane hit the ground). C reach (a target etc.) With a directed missile (hit the wicket). 2 cause to suffer; affect adversely. 3 (often foll. By at, against) direct a blow. 4 (often foll. By against, on) knock (a part of the body) (hit his head). 5 achieve, reach (hit the right tone; can't hit the high notes). 6 colloq. A encounter (hit a snag). B arrive at (hit town). C indulge heavily in, esp. Liquor etc. (hit the bottle). 7 esp. Us slang rob or kill. 8 occur forcefully to (it only hit him later). 9 a propel (a ball etc.) With a bat etc. To score runs or points. B score in this way (hit a six). —n. 1 a blow, stroke. B collision. 2 shot etc. That hits its target. 3 colloq. Popular success.  hit back retaliate. Hit below the belt 1 esp.
Arbor1  n. Axle or spindle. [latin, = tree]

Mishit  —v. (-tt-; past and past part. -hit) hit (a ball etc.) Badly. —n. Faulty or bad hit.
Kauri  n. (pl. -s) coniferous new zealand tree yielding timber and resin. [maori]



Rash1  adj. Reckless, impetuous, hasty.  rashly adv. Rashness n.  [probably old english]


Ocean  n. 1 large expanse of sea, esp. Each of the main areas called the atlantic, pacific, indian, arctic, and antarctic oceans. 2 (often in pl.) Colloq. Very large expanse or quantity.  oceanic adj. [greek okeanos]

Seventh heaven  n. State of intense joy.
Countable  adj. 1 that can be counted. 2 gram. (of a noun) that can form a plural or be used with the indefinite article.


Hajj  n. (also hadj) islamic pilgrimage to mecca. [arabic]

Homogeneous  adj. 1 of the same kind. 2 consisting of parts all of the same kind; uniform.  homogeneity n. Homogeneously adv. [from *homo-, greek genos kind]
Hardship  n. 1 severe suffering or privation. 2 circumstance causing this.

Northern hemisphere  n. The half of the earth north of the equator.
Intolerant  adj. Not tolerant, esp. Of others' beliefs or behaviour.  intolerance n.


Capital sum  n. Lump sum, esp. Payable to an insured person.





Snazzy  adj. (-ier, -iest) slang smart, stylish, showy.  snazzily adv. Snazziness n. [origin unknown]
Misunderstanding  n. 1 failure to understand correctly. 2 slight disagreement or quarrel.
Traipse  colloq. —v. (-sing) tramp or trudge wearily. —n. Tedious journey on foot. [origin unknown]
Spue  var. Of *spew.
Quatrefoil  n. Four-pointed or -leafed figure, esp. As an architectural ornament. [anglo-french quatre four: related to *foil2]


Pill  n. 1 a ball or flat disc of solid medicine for swallowing whole. B (usu. Prec. By the) colloq. Contraceptive pill. 2 unpleasant or painful necessity. [latin pila ball]



Hematology  n. (brit. Haem-) the study of the blood.  haematologist n.
Action stations  n.pl. Positions taken up by troops etc. Ready for battle.




Accede  v. (-ding) (foll. By to) 1 take office, esp. As monarch. 2 assent or agree. [latin: related to *cede]





E 
Buddhism  n. Asian religion or philosophy founded by gautama buddha.  buddhist n. & adj.

Brethren  see *brother.




Exercise  —n. 1 activity requiring physical effort, done to sustain or improve health. 2 mental or spiritual activity, esp. As practice to develop a faculty. 3 task devised as exercise. 4 a use or application of a mental faculty, right, etc. B practice of an ability, quality, etc. 5 (often in pl.) Military drill or manoeuvres. —v. (-sing) 1 use or apply (a faculty, right, etc.). 2 perform (a function). 3 a take (esp. Physical) exercise. B provide (an animal) with exercise. 4 a tax the powers of. B perplex, worry. [latin exerceo keep busy]
Defer1  v. (-rr-) postpone.  deferment n. Deferral n. [originally the same as *differ]

Gradation  n. (usu. In pl.) 1 stage of transition or advance. 2 a certain degree in rank, intensity, etc. B arrangement in such degrees.  gradational adj. [latin: related to *grade]


Perambulate  v. (-ting) 1 walk through, over, or about (streets, the country, etc.). 2 walk from place to place.  perambulation n. [latin perambulo: related to *amble]

Providence  n. 1 protective care of god or nature. 2 (providence) god in this aspect. 3 foresight; thrift. [latin: related to *provide]






Buttock  n. 1 each of the two fleshy protuberances at the rear of the human trunk. 2 corresponding part of an animal. [butt ridge]

Mistress  n. 1 female head of a household. 2 a woman in authority. B female owner of a pet.  3 female teacher. 4 woman having an illicit sexual relationship with a (usu. Married) man. [french maistre *master, *-ess]
Tearful  adj. 1 crying or inclined to cry. 2 sad (tearful event).  tearfully adv.
Huh  int. Expressing disgust, surprise, etc. [imitative]

Grandchild  n. Child of one's son or daughter.
Cuirass  n. Armour breastplate and back-plate fastened together. [latin corium leather]



Zodiac  n. 1 belt of the heavens including all apparent positions of the sun, moon, and planets as known to ancient astronomers, and divided into twelve equal parts (signs of the zodiac). 2 diagram of these signs.  zodiacal adj. [greek zoion animal]


Point of honour  n. Thing of great importance to one's reputation or conscience.
Prince  n. (as a title usu. Prince) 1 male member of a royal family other than the reigning king. 2 ruler of a small state. 3 noble man in some countries. 4 (often foll. By of) chief or greatest (the prince of novelists). [latin princeps -cip-]

Whisker  n. 1 (usu. In pl.) Hair growing on a man's face, esp. On the cheek. 2 each of the bristles on the face of a cat etc. 3 colloq. Small distance (within a whisker of).  whiskered adj. Whiskery adj. [from *whisk]

Hippy2  adj. Having large hips.

Subscriber  n. 1 person who subscribes. 2 person hiring a telephone line.




Cocoa butter  n. Fatty substance obtained from the cocoa bean.
Disposable income  n. Income after tax and other fixed payments.



Horehound  n. Herbaceous plant yielding a bitter aromatic juice used against coughs etc. [old english, = hoary herb]
Unhampered  adj. Not hampered.
Usage  see note at imprimatur.
Hgv  abbr. Heavy goods vehicle.
Persian  —n. 1 native or inhabitant of ancient or modern persia (now iran); person of persian descent. 2 language of ancient persia or modern iran. 3 (in full persian cat) cat of a breed with long silky hair. —adj. Of or relating to persia or its people or language.
Overfeed  v. (past and past part. -fed) feed excessively.

Leisure  n. 1 free time. 2 enjoyment of free time.  at leisure 1 not occupied. 2 in an unhurried manner. At one's leisure when one has time. [anglo-french leisour from latin licet it is allowed]

Delegation  n. 1 group representing others. 2 delegating or being delegated.
Seville orange  n. Bitter orange used for marmalade. [seville in spain]





Firework  n. 1 device that burns or explodes spectacularly when lit. 2 (in pl.) Outburst of passion, esp. Anger.



Luxuriant  adj. 1 growing profusely. 2 exuberant. 3 florid.  luxuriance n. Luxuriantly adv. [latin: related to *luxury]





Unambitious  adj. Not ambitious.
Sparring partner  n. 1 boxer employed to spar with another as training. 2 person with whom one enjoys arguing.
Hugger-mugger  —adj. & adv. 1 in secret. 2 confused; in confusion. —n. 1 secrecy. 2 confusion. [origin uncertain]
Residuary  adj. 1 of the residue of an estate (residuary bequest). 2 residual.
Shirk  v. (also absol.) Avoid (duty, work, etc.).  shirker n. [german schurke scoundrel]

I'm  contr. I am.
Impoverish  v. Make poor.  impoverishment n. [french: related to *poverty]

Galumph  v. (esp. As galumphing adj.) Colloq. Move noisily or clumsily. [coined by lewis carroll, perhaps from *gallop, *triumph]


Usage  in sense 3 of the adverb, the word ‘past’ is often omitted in colloquial usage, e.g. Came at half two. In some parts of scotland and ireland this means ‘half past one’.

Spearmint  n. Common garden mint, used in cookery and to flavour chewing-gum etc.



Spine-chiller  n. Frightening and usu. Exciting story, film, etc.  spine-chilling adj.
Unfeigned  adj. Genuine, sincere.


Pollen count  n. Index of the amount of pollen in the air, published as a warning to hay fever sufferers.

Back-seat driver  n. Person eager to advise without taking responsibility.
Unchristian  adj. Contrary to christian principles, esp. Uncaring or selfish.

Vinyl  n. Plastic made by polymerization, esp. Polyvinyl chloride. [latin vinum wine]
Heave  —v. (-ving; past and past part. Heaved or esp. Naut. Hove) 1 lift or haul with great effort. 2 utter with effort (heaved a sigh). 3 colloq. Throw. 4 rise and fall rhythmically or spasmodically. 5 naut. Haul by rope. 6 retch. —n. Heaving.  heave in sight come into view. Heave to esp. Naut. Bring or be brought to a standstill. [old english]
Curvaceous  adj. Colloq. (esp. Of a woman) having a shapely figure.
Mature student  n. Adult student.
Blimp  n. 1 (also (colonel) blimp) reactionary person. 2 small non-rigid airship. 3 soundproof cover for a cine-camera. [origin uncertain]
Road-metal  n. Broken stone used in road-making etc.


Usage  the use of like as a conjunction is considered incorrect by some people.
Willful  adj. (brit. Wilful) 1 intentional, deliberate (wilful murder; wilful neglect). 2 obstinate.  wilfully adv. [from *will2]
Grease  —n. 1 oily or fatty matter, esp. As a lubricant. 2 melted fat of a dead animal. —v. (-sing) smear or lubricate with grease.  grease the palm of colloq. Bribe. [latin crassus (adj.) Fat]

Stripy  adj. (-ier, -iest) striped.
Series  n. (pl. Same) 1 number of similar or related things, events, etc.; succession, row, or set. 2 set of related but individual programmes. 3 set of related geological strata. 4 arrangement of the twelve notes of the chromatic scale as a basis for serial music. 5 set of electrical circuits or components arranged so that the same current passes through each successively.  in series in ordered succession. [latin sero join]


Hand-pick  v. Choose carefully or personally.



Well-disposed  adj. (often foll. By towards) friendly or sympathetic.
