healthy food;tofu
marked by turmoil;stormy
change the direction of;refract
place as a bet;lay
something to catch or sav;breath
linked carriages;train
bangkok citizen;thai
flash point;camera
agony;woe
bar at night perhaps;roost
batting average eg;ratio
level in london;rase
exclamation before darn;gosh
go home and go to bed;turn in
filbert eg;nut
publicity person;agent
picnic spoiler;rain
annual hoops contest for;nit
name on a ticket;nominee
alleviate;ease
improve in a way;hone
domain of paul bunyan;folklore
jampack;cram
it can be popped;pill
discharge a cannon;fire
durantes famous feature;nose
mint bar;ingot
slowly scored;andante
nitrogen compound;amine
punctual reminder on stage;prompt
neighbor of a pole;slovak
to the rear on a ship;astern
kind of system;merit
limited;finite
reason to scold a kid;sass
plain place to live;tepee
hold;maintain
digital manicure shaped tip of fingernail;numerical
a long time ago;once
napoleon notably;exile
fix the electrical connec;rewire
real nerd endlessly turning to study once again;relearn
clarinet type;alto
what john scopes taught;biology
put together;amass
golden;age
gull;trick
pay ones share with up;ante
downing street number;ten
unit of astronomical distance;parsec
hindu garment;sari
bookkeeping task;entry
interfere with;meddle
bowdlerize with out;edit
good for farming;arable
bug;needle
oocytes eventually;ova
catch some rays;sun
they can be found in 20;police
turkish meat dish;kebab
actress grant;lee
mlk jr for one;rev
it might present you with;pelican
transfer;reassign
swills opposite;sip
cove;inlet
inveterate brownbagger;sot
floral arrangement;posy
like some meat;lean
rainy day rarity;taxi
computer peripheral;scanner
famished;hungry
shells and such;ammo
maximum clarity of an idea;focus
exodus  all inside leaving headland in this;escape
yeasts effect on cake;rise
conductors intro;semi
cancel officially;repeal
big name in cycling helme;giro
picture holder;album
belfry sound;knell
body thats not the clerg;laity
piece of office furniture;desk
handle;tag
studio effect;echo
a car may be in it;neutral
stringy;ropy
song for carmen;aria
canarys call;tweet
plant with an edible root;taro
grimm creature;gnome
certain committee member;senator
word that comes from the;atom
assignment;post
jaguar or mustang;auto
walk proudly;strut
old hand;pro
joint;mutual
sternutation;sneeze
gallowsshaped letter;gamma
lagoon surrounder;atoll
problems and difficulties;aggro
vip;kingpin
part of an old english ch;boar
kind of fair;science
hopping joint;ankle
driller and filler;dentist
small nail;brad
dewyeyed;credulous
painting measuring up 22 x 025;folio
free pass of a sort;walk
sloping;inclined
part of the planning for;ruse
like chestnuts;stale
does mate;hart
bbl fraction;gal
priestly attire;alb
easy to get into;accessible
framework;lattice
emptyheaded;dim
january 1 title word;auld
suffering from insomnia;awake
fine print maybe;agate
shout before a snap;hike
do well;excel
poke;snail
great buy;steal
a restaurant may have one;theme
without support;alone
happy;opportune
female antelope;doe
tramp;roam
race marker;pylon
whack biblically;smite
chemical used to cure ani;alum
nathanael who wrote miss;west
substance totally different from cheese;chalk
facetoface exam;oral
scifi sight;ufo
ratted in mob lingo;sang
particular gear;paraphernalia
up for it always if a bit of gins involved;eager
upbraid;scold
compass dir;sse
not to mention;and
con mans sidesplitting accents;rogue
field goal;crop
deep feeling  music genre;soul
good relations;amity
sword handle;hilt
hold up;rob
mo before may;apr
situated towards the back like a bird;astern
this ends regularly with scores level;tied
best big clothing label according to report;excel
look on pound as an animal refuge;lair
resource;asset
part of an ensemble;garment
orange or watermelon cove;rind
horror of locks;dread
book of kells eg;codex
feature of psalm 119;acrostic
jam site;road
it sometimes thickens;plot
dirty coat;soot
suitable for a holiday;festal
traffic director;cone
delirious at home with a clubbers pill;inane
madman;maniac
history text unit;era
scottish emblem;thistle
organ piece;stop
fine stone particles;sand
briefs eg;undies
first pair of trousers mans torn on truck  change into something else;transmute
second sight for short;esp
perfume compound;ester
show disapproval;frown
small circus performer;flea
indignation;ire
former rulers of egypt;british
cook;chef
pain soother;balm
tom dick and harry eg;trio
it may be assumed;alias
stein relative;tankard
redhot one;mama
sailors punishment;lash
shape of a mandolins bod;pear
bring to bear;wield
its sometimes cast;iron
drink made from pears;perry
sin of the beadyeyed;avarice
strict firm with fleet;hard and fast
something asked of the 33;mercy
bicycle seat;saddle
damp;soggy
free of doubt;sure
colloquial saying;idiom
delight;glee
snug as a bug in a rug;cozy
plasma alternative for s;lcd
north pole assistant;elf
pulitzer or tony as for;award
like marilyn monroe;sexy
what to do if criterion is satisfied in sound test pass;ticket
apache eg;tribe
paragon of virtue;saint
go on;yak
great;aunt
kennel club listing;breed
passage from writing;excerpt
ballet move;leap
come from journey touring the east;derive
profession;career
kind of pad;stamp
cell phone feature often;camera
flying home;airbase
character size;agate
fall into evil ways;err
geometricians figuring;area
decorated cop say;hero
set up;erect
insurance company worker;agent
high temperature thats exhausting did you say for plant;feverfew
in once more;retro
invitation word;plait
overweight plus;obese
kind of chop;pork
seventh letter;eta
running figure;tally
drew a lot say;chose
congregation;group
drink after a shot;chaser
run for it;flee
female with a showy mate;peahen
call  question;into
kunta kintes slave name;toby
crackbrained;mad
crescentshaped tract of;horn
disney owns it;abc
twodimensional measure;area
distance travelled;mileage
do as hair;style
tarot card user;seer
luxury hotel feature;sauna
noisy;loud
the abominable snowman;yeti
like a sixfooter;tall
coin catalogue rating;fine
one with a sticking point;pin
perfect service;ace
it has round inside;rotund
foundation of club as i specified;basis
basis;seed
heap kudos on;praise
like william tell;swiss
public radios glass;ira
highlander pattern;tartan
jabber;prate
prime;ready
adam sandlers mr deeds;remake
pipe joint;ell
falcon feature;claw
protective structures sound guarding french island;bailey
paper purchase;quire
it may be under a top;bra
rockets trajectory;arc
part of an ear;cob
bloat;distend
call bad names;revile
manhattan for one;drink
villainous one in the li;hyena
devil;scamp
sauna site;spa
making even;tying
metal in pennies;zinc
expensive coat;sable
morning garment;robe
menu item  plate;dish
second;echo
excursion;trip
seek answers amid 24 or 25 sheets;inquire
saw;saying
balance due;debt
like some sermons;lay
psychiatrists treat it;angst
bait sometimes;lure
suggest;opine
famous;big
gel;set
like poisonous mushrooms;inedible
group of bits in data st;byte
crookspeak;argot
family of man;race
kind of supervision;adult
dummkopf;clod
road fixed  first of traffic about to enter;street
list of choices;menu
a citys dream i recollected sometime in november;armistice day
larges opposite;petite
flirtatious gesture;wink
fastmoving piano piece;rag
misplay eg;err
shells eg;ammo
leprechauns land;erin
sandwich store;deli
cupronickel eg;alloy
it features in article part one of ten;tithe
parquet alternative;tile
shoot;spew
he wrote the heart has i;pascal
screen presentation;image
get better so to speak;mend
collide with;ram
torso;middle
weightlifters lift;curl
view;vista
dealers demand;ante
minute of  160 degre;arc
clean river around kent area;rinse
site of some rock shows;arena
amorphous mass;blob
tenuous fragment;wisp
answer provider;oracle
walk nonchalantly;sashay
fats wallers  honey;whose
drill to a dentist;tool
french military cap;kepi
stewed;tipsy
keep after;hound
missiles trajectory;arc
bun seed;sesame
division;segment
backward view;retrospective
wage earner;prole
its often made freshly;pass
napa sight;vineyard
flood;inundate
pourer;ewer
distinction  high ground;eminence
munitions for short;ammo
supersede;override
discover sectarian revolts;ascertain
deviate;veer
fairhaired boy;pet
rank below marquis;earl
minute or hour preceder;per
locality;area
clobber biblically;smite
place for a beer and a bi;bistro
barbie for one;doll
outskirts of lincoln say with two roundabouts attracts learner;wool
odd look;leer
declaration of independen;lee
bird with meat high in pr;emu
coffee bar order;espresso
thumb through;leaf
irk;needle
loudspeaker;woofer
quirky;weird
even;yet
numbing drug;anesthetic
like the sabin vaccine;oral
cyclotron particle;ion
pride eg;sin
like some nonvoters;apolitical
miami team;heat
blowout;shindig
proverb;adage
drifter of a coldly detached nature;iceberg
development;growth
dixon of the masondixon;jeremiah
part of a fist;knuckle
kind of drum;snare
bog product;peat
choose by divine election;anoint
dancer shawn;ted
its not good when its o;debt
irish;dander
neutralize as a bomb;disarm
what an andiron holds;log
distance unit in duels;pace
bit of current;ampere
release through pores;exude
get by force;exact
person on deck;sailor
the artful dodger eg;urchin
harpoon eg;stab
sentence subject often;noun
cry at a basketball arena;defense
sprinkle;strew
male sheep;tup
novel content;prose
so much as;even
skiffle instrument;jug
cuzco inhabitant;inca
one of the three rs;reading
one going on foot;shoe
roth;ira
strength in a stable marriage never ends hope rows frivolous;horsepower
lose ones blush;fade
capri eg;isle
cropped up;arose
overlay;acetate
colour supplement intellectual unwrapped;magenta
allergy source;hay
word thats an accidental;tsar
one in a suit;ace
sarge for one;nco
scolding word;bad
blokes backing a coppers judgement;acumen
abbr in a g  s title;hms
cooking up;making
extra in broken arrow;apache
read;scan
subject for a censor;oath
in short order;soon
a lot of death sentences after first three commuted to life;existence
smattering;tinge
fairy tale villain;ogre
stop working as an engin;seize
hunter discovered holding bullock close to ranch;foxhound
sneak;spy
one day looked at becoming rich;moneyed
forceful officers seizing loads from the east;dynamic
couturiers fabric;lame
lance;spear
home for an old woman i;shoe
it may bring on a sigh;relief
reverse;undo
choreographers concerns;feet
at christmas perhaps is present with missing head changeable;indecisive
immoral;evil
meteorological datum;low
storm drain eg;sewer
cut ones losses maybe;sell
designcutting tool;fretsaw
boxers possibly step and run about;underpants
pay for a hand;ante
big name in cartography;rand
windows xp successor;vista
very cute;adorable
fencers deflection;parry
kind of shake;fair
mamas partner;papa
puffed;blew
it may be wrinkled;nose
gear part;cog
short dagger;stiletto
item removed before showe;toupee
complain;gripe
division of society;caste
mound;knoll
piece of music;opus
sorry;abject
kind of tide;neap
washington and  univer;lee
slightly colour;tinge
open to the breeze;airy
donnish;academic
slangy au contraire;not
the a in dna;acid
degree for a ceo;mba
what mattresses do over t;sag
almond confection;marzipan
mathematical ordinal;nth
its slow going;local
not boastful;modest
seminar focus;topic
mayo setting abbr;ire
signal to clear the road;siren
puritan;prig
pieeyed;sloshed
lifeboat crane;davit
tool;chisel
spray can;aerosol
noble disciple losing heart;peer
extrapowerful;turbo
james who was known as th;dole
pavarotti say vocalised note;tenor
copters forerunner;giro
flout;defy
mosquegoer var;moslem
constant going straight  but not to the top;endless
evaluate;appraise
harmonize;agree
nothing to restrain view;opinion
walk eg;gait
granola tidbit;oat
s  l holding;ira
puppy;whelp
belongings;gear
birds tidy up no down;preen
edit text;emend
sound of an unsound floor;creak
nonagenarians age;ninety
old propaganda source;tass
cousin of a crow;jay
